,id,name,neighborhood_overview,host_id,host_name,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,neighbourhood,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month,monthly_revenue
6220,997354568589681655,Home in Vancouver · ★4.71 · 1 bedroom · 1 bed · 1 bath,,20368433,Nicolas,within an hour,100%,99%,t,2,2,,South Cambie,49.24813049521117,-123.11588656157254,Private room in home,Private room,2,,,1.0,[],$95.00,1,365,1.0,365.0,0,0,11,185,7,7,4.71,4.86,4.57,5.0,5.0,5.0,4.86,f,2,3.39,0
3666,660819375476393476,Condo in Vancouver · ★4.77 · 1 bedroom · 2 beds · 1 bath,"What’s Near By<br />All your necessities (groceries, alcohol, shoppers, coffee and more are steps from the apartment). Lots of local cafes and restaurants wherever you turn.<br /><br />BC Place<br />Rogers Arena<br />Science World<br />Granville Island<br />Vancouver Public Library<br /><br />LOTS of cafes, restaurants, pubs, and bars.<br /><br />Parks Near By<br />Access the waterfront walk and bike path that runs all the way around Stanley Park to Cold Harbour and around False Creek to Kitsilano.<br /><br />David Lam Park<br />Emery Barnes Park<br />Sunset Beach",445276644,Vick,within a few hours,100%,99%,t,3,4,"Vancouver, British Columbia, Canada",Downtown,49.27588659794945,-123.12783463355431,Entire condo,Entire home/apt,4,,,2.0,[],$140.00,3,180,5.8,180.0,17,20,50,205,35,27,4.77,4.83,4.86,4.77,4.97,4.37,4.43,f,3,2.13,1634
350,7034128,Guest suite in Vancouver · ★4.84 · 2 bedrooms · 2 beds · 1 bath,"Great location, nice and quiet neighborhood. <br />Centrally located to everything. Short distance to downtown Vancouver, Stanley Park, Commercial Drive, Robson Street, Gastown, Yaletown,<br />Convention Centre, the Vancouver Art Gallery, and etc. You can get on a bus to English Bay, Granville Island, Kitsilano Beach, 4th Ave, Broadway Street, UBC, and Wreck Beach.<br />Walking distance to numerous shops, restaurants, coffee shops, Italian bakery & deli, parks,  Playland Amusement Park at PNE, a Community Center, and a gym.",33501321,Michael & Alina,within a few hours,100%,92%,f,2,6,"Vancouver, British Columbia, Canada",Hastings-Sunrise,49.28053,-123.02698,Entire guest suite,Entire home/apt,4,,,2.0,[],$220.00,30,1125,30.0,1125.0,0,0,11,286,67,6,4.84,4.95,4.94,4.89,4.95,4.68,4.77,f,2,0.65,590
3752,674223024869439643,Condo in Vancouver · 2 bedrooms · 2 beds · 1 bath,,231663454,Plan A,within an hour,100%,94%,f,19,227,,Downtown,49.28018,-123.12309,Entire condo,Entire home/apt,4,,,2.0,[],$110.00,30,365,30.0,365.0,0,11,41,315,1,1,4.0,4.0,3.0,5.0,5.0,5.0,4.0,f,19,0.58,686
3167,54111673,Condo in Vancouver · 3 bedrooms · 4 beds · 2.5 baths,,5697667,Shirley,,,100%,f,1,2,,Marpole,49.21631,-123.11369,Entire condo,Entire home/apt,6,,,4.0,[],,30,365,30.0,1125.0,0,0,0,0,2,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,0.1,2304
5973,973177102320456491,Home in Vancouver · 2 bedrooms · 2 beds · 1 bath,,533121882,Yan,a few days or more,0%,0%,f,1,1,,Dunbar Southlands,49.24250386226602,-123.17410608298334,Private room in home,Private room,4,,,2.0,[],$200.00,1,365,1.0,365.0,29,59,89,269,0,0,,,,,,,,f,1,,215
1114,23519364,Condo in Vancouver · ★4.92 · 1 bedroom · 2 beds · 1.5 baths,"We're foodies and are absolutely spoilt for choice in this neighbourhood. Dozens of different types of cuisine are available within just a few blocks radius (we’ll share a google map including our favourites). And if you like to cook yourself, the Asian supermarket across the street offers an amazing range of fresh seafood, meat and produce, as well as most kitchen staples. Also within easy walking distance are the bulk retailer, Costco (membership required), and a modern grocery store, Nesters.<br /><br />One of the best features of Vancouver is its Seawall, a combined pedestrian and bike path that offers access to an uninterrupted 28km of waterfront. We are about a 2 minute walk from the Seawall.",6705291,Tuba,,,,f,1,1,"Vancouver, British Columbia, Canada",Downtown,49.28082,-123.10843,Entire condo,Entire home/apt,4,,,2.0,[],,2,8,2.0,8.0,0,0,0,0,48,0,4.92,5.0,4.9,4.94,5.0,4.88,4.83,f,1,0.71,1344
4706,832632824910599045,Home in Vancouver · 1 bedroom · 1 bed · 1 shared bath,,60152405,Dc,,,17%,f,1,13,,Sunset,49.22205561895657,-123.09552915705596,Private room in home,Private room,1,,,1.0,[],$70.00,30,90,30.0,90.0,29,59,89,364,0,0,,,,,,,,f,1,,16
298,5795871,Rental unit in Vancouver · ★5.0 · 1 bedroom · 1 bed · 1 bath,Centrally located in Downtown. On major transportation route. @ blocks to Robson Street.,600607,Martello,within an hour,100%,70%,f,36,78,"Vancouver, British Columbia, Canada",Downtown,49.28084,-123.12598,Entire rental unit,Entire home/apt,2,,,1.0,[],,30,90,30.0,90.0,0,0,0,0,8,2,5.0,4.88,4.88,5.0,5.0,5.0,4.5,f,33,0.1,33
6313,1007409156300819599,Home in Vancouver · ★5.0 · 1 bedroom · 2 beds · 1 bath,,13872643,Davis,within a few hours,98%,89%,t,3,3,,Killarney,49.22952507297958,-123.025908196916,Entire home,Entire home/apt,4,,,2.0,[],$71.00,2,365,2.0,365.0,8,18,37,117,4,4,5.0,4.75,5.0,5.0,5.0,5.0,4.75,f,3,2.67,2412
5303,908854903689478184,Rental unit in Vancouver · 3 bedrooms · 3 beds · 1 bath,"Mount Pleasant is a vibrant neighborhood nestled in the heart of Vancouver, known for its artistic flair and eclectic atmosphere. Its tree-lined streets are lined with charming heritage homes, trendy boutiques, and a wide array of restaurants and cafes.<br /><br />One of the main attractions in Mount Pleasant is Main Street, a bustling hub filled with local shops, art galleries, and craft breweries. Here, you can explore unique boutiques, indulge in delicious cuisine from around the world, or simply enjoy a leisurely stroll along the vibrant streets.",227662329,Jordan,within an hour,100%,100%,f,168,232,"Vancouver, British Columbia, Canada",Mount Pleasant,49.25952,-123.10416,Entire rental unit,Entire home/apt,6,,,3.0,[],$53.00,30,365,30.0,365.0,3,3,3,194,2,2,3.5,2.5,4.5,4.5,4.5,4.5,3.5,f,134,0.52,1882
2347,43232530,Home in Vancouver · 1 bedroom · 1 bed · 1 shared bath,The house is in the Oakridge - Langara area.  It is located on a block corner and is surrounded by many trees in a quiet neighbourhood. It is a walking distance of Oakridge Shopping centre.,5041866,Daniel,,,,f,3,3,"Vancouver, British Columbia, Canada",Oakridge,49.22467,-123.12011,Private room in home,Private room,1,,,1.0,[],,30,1125,30.0,1125.0,0,0,0,0,2,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,3,0.05,1914
5090,886908124197339064,Home in Vancouver · ★4.46 · 1 bedroom · 1 bed · 2 shared baths,There are many cafe (Tim Horton & Starbucks)and restaurant on the Main Street and Fraser St. 3 minutes walk to Main Street and bus station. 10 minutes walk to Fraser street.,508451613,Peiqin,within an hour,100%,100%,f,7,10,"Vancouver, British Columbia, Canada",Sunset,49.22334294394408,-123.10086071211212,Private room in home,Private room,2,,,1.0,[],$74.00,1,365,1.0,365.0,29,49,49,49,28,28,4.46,4.71,4.43,4.82,4.82,4.5,4.39,t,7,4.02,1466
4063,728023428197250377,Guest suite in Vancouver · ★4.84 · 1 bedroom · 1 bed · 1 bath,"Farmers Market  May 7th to Oct 29th every Sunday 10-2 pm 3 blocks away at 10th and Larch St<br />locally sourced produce, artisanal crafts and food trucks<br /><br />The Galley Patio grill is a secret spot on Jericho beach  check it out enjoy a beer and fish and chips the nachos are huge!<br /> <br />You can also rent or take lessons to Kayak windsurf or sail at Jericho sailing center.<br /><br />Celebration of lights  July 22, 26,29 viewed from Kits beach Jericho beach  Spanish banks and English bay<br /><br />Greek day  June 25th  Broadway is closed from Macdonald street for blocks eat drink and dance<br /><br />Bard on the Beach outdoor theater in Vanier Park early June to late September purchase tickets ahead<br /><br />Khatsahlano street party July 8th on 4th avenue<br /><br />Folk festival July 14-16 at Jericho beach tickets to be purchased<br /><br />Granville island Market is a must see ,check out the floating homes there<br /><br />Rent a bike and ride along the seawall from k",408738153,Anna,within an hour,100%,100%,t,1,1,"Vancouver, British Columbia, Canada",Kitsilano,49.26612198973451,-123.16137131981442,Entire guest suite,Entire home/apt,3,,,1.0,[],$158.00,3,1125,3.0,1125.0,0,0,0,1,32,32,4.84,5.0,5.0,4.97,4.97,5.0,4.75,f,1,4.66,1659
2542,46902210,Home in Vancouver · ★4.91 · 2 bedrooms · 2 beds · 1.5 baths,"Beautiful quiet neighbourhood centrally located in East Vancouver with parks, trails and a bus loop within walking distance. Hastings Street is just a few blocks away which is lined with Restaurants, Cafe's and a variety of Stores. 2 blocks away from Empire Field and the PNE.",986207,Christian,within an hour,100%,99%,t,4,5,"Vancouver, British Columbia, Canada",Hastings-Sunrise,49.28511,-123.0277,Entire home,Entire home/apt,4,,,2.0,[],$142.00,3,1125,3.0,1125.0,13,43,73,163,79,22,4.91,4.89,4.94,4.94,4.94,4.87,4.8,f,1,2.78,1939
229,4054111,Rental unit in Vancouver · ★4.96 · 2 bedrooms · 3 beds · 2 baths,"The apartment is on a quiet tree-lined street in a neighborhood with beautiful original houses from the 1910s. It's walking distance to amazing coffee shops, eateries, craft breweries and some of the most interesting shopping Vancouver has to offer.  Did I mention the great people watching!",504609,Mark,within an hour,100%,99%,t,1,3,"Vancouver, British Columbia, Canada",Mount Pleasant,49.25886,-123.10898,Entire rental unit,Entire home/apt,4,,,3.0,[],$321.00,2,1125,2.0,1125.0,15,41,60,220,251,45,4.96,4.98,4.96,4.97,4.98,4.94,4.89,f,1,2.23,1403
5330,910902792399866260,Home in Vancouver · ★3.0 · 1 bedroom · 1 bed · 1 bath,,490857414,Renee,within an hour,90%,94%,f,6,16,,Mount Pleasant,49.25879,-123.08032,Private room in home,Private room,2,,,1.0,[],$39.00,1,365,1.0,365.0,30,60,90,365,3,3,3.0,3.67,3.33,4.67,3.67,3.67,3.0,t,6,0.58,0
5329,910895104867725216,Condo in Vancouver · ★4.75 · 4 bedrooms · 5 beds · 2 baths,"Located in the beautiful Coal Harbor neighborhood, our apartment offers the perfect base for exploring the best of Vancouver. Immerse yourself in the stunning waterfront views, take a leisurely stroll along the seawall, or visit the nearby Stanley Park for a day of outdoor adventure. The neighborhood is also known for its vibrant dining scene, with an array of restaurants offering diverse cuisines to satisfy every palate. Whether you're looking for cultural attractions, shopping opportunities, or simply a peaceful retreat by the water, Coal Harbor has it all.",491171110,Maria,within an hour,100%,100%,f,1,5,"Vancouver, British Columbia, Canada",Downtown,49.288768906584586,-123.12656633113237,Entire condo,Entire home/apt,8,,,5.0,[],$118.00,1,365,5.0,365.0,11,27,57,57,16,16,4.75,4.81,4.88,4.63,4.75,4.94,4.8,f,4,2.91,2546
4625,818953301259137662,Condo in Vancouver · 1 bedroom · 1 bed · 1 bath,,14176705,Vancouver Extended Stay,,,,f,3,3,,West End,49.287536694380265,-123.12661542602302,Entire condo,Entire home/apt,2,,,1.0,[],$160.00,30,1125,30.0,1125.0,0,0,0,0,0,0,,,,,,,,f,3,,1881
4726,835958524554344433,Rental unit in Vancouver · ★4.50 · 1 bedroom · 1 bed · 1 shared bath,A few blocks from the beach .5 min from groceries bus next block ; amazing neighbourhood/ park across the street,502898478,Lee,within a few hours,100%,60%,f,6,11,"Vancouver, British Columbia, Canada",Kitsilano,49.26764887541821,-123.17911753620936,Private room in rental unit,Private room,1,,,1.0,[],$66.00,14,365,14.0,365.0,29,59,68,343,4,4,4.5,4.75,4.5,5.0,5.0,4.75,4.5,f,6,0.5,1736
4283,760887066170611306,Rental unit in Vancouver · ★5.0 · 1 bedroom · 1 bed · 1 bath,"Kitsilano is a picturesque area that encompasses the true essence of Vancouver and all it has to offer. Kits Beach provides soft sand, lovely waters, and stunning views of the ocean and signature mountain ranges unique to the Pacific Northwest. 4th Avenue is exciting and bustling with life, offering lovely shops, cafés, groceries, and efficient transit. No matter the time of year, Kitsilano is always fun and intriguing.",227662329,Jordan,within an hour,100%,100%,f,168,232,"Vancouver, British Columbia, Canada",Kitsilano,49.27115,-123.14639,Entire rental unit,Entire home/apt,2,,,1.0,[],$107.00,30,365,30.0,1125.0,21,51,81,356,4,4,5.0,5.0,4.75,5.0,5.0,5.0,4.75,t,134,0.47,1425
5606,937693391749745678,Rental unit in Vancouver · 1 bedroom · 1 bed · 1 bath,"Welcome to Fairview, one of Vancouver's most vibrant and sought-after neighborhoods. Nestled in the heart of the city, Fairview offers a unique blend of urban convenience and natural beauty. With its tree-lined streets, stunning views, and proximity to downtown, it's no wonder this neighborhood is a favorite among locals and visitors alike.<br /><br />One of the standout features of Fairview is its picturesque surroundings. With its close proximity to False Creek and Granville Island, residents can enjoy waterfront walks, bike rides, and the vibrant atmosphere of the famous Granville Island Public Market. The nearby seawall provides a scenic route for jogging, cycling, or simply taking in breathtaking views of the city skyline and mountains.<br /><br />Fairview is also home to world-class medical facilities, including Vancouver General Hospital and BC Children's Hospital. The presence of these renowned institutions adds a sense of security and ensures that residents have access to top-",227662329,Jordan,within an hour,100%,100%,f,168,232,"Vancouver, British Columbia, Canada",Fairview,49.26095634509051,-123.12862589515234,Entire rental unit,Entire home/apt,2,,,1.0,[],$132.00,30,365,30.0,1125.0,3,3,10,285,1,1,4.0,4.0,5.0,5.0,4.0,4.0,4.0,t,134,0.32,2274
3704,668762975310977715,Condo in Vancouver · ★4.94 · 1 bedroom · 4 beds · 1 bath,"Leafy Avenues with a cool and safe vibe. Kitsilano is like a Village within a City!  Beaches, Trendy Shops and Eats all around.",468893901,Penny,,,100%,t,1,1,"Vancouver, British Columbia, Canada",Kitsilano,49.2715928,-123.1610614,Entire condo,Entire home/apt,4,,,4.0,[],$445.00,3,250,3.0,250.0,22,52,81,81,16,9,4.94,4.88,4.94,4.94,5.0,5.0,4.56,f,1,0.95,4194
5951,971174018374776582,Rental unit in Vancouver · 1 bedroom · 2 beds · 1 bath,,357742156,Doug,within an hour,100%,100%,t,1,5,,Mount Pleasant,49.26795,-123.10073,Entire rental unit,Entire home/apt,3,,,2.0,[],$142.00,2,365,18.6,1125.0,14,44,74,165,1,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,2,0.88,574
4450,787246310766701749,Condo in Vancouver · ★5.0 · 1 bedroom · 2 beds · 2 baths,All major attractions downtown are within a 10-20 minute walk from the condo.<br /><br />- 400 m Robson Street (6 min walk)<br />- 550 m Pacific Centre Shopping Mall (7 min walk)<br />- 600 m Vancouver Convention Centre (8 min walk)<br />- 650 m Vancouver Art Gallery (9 min walk)<br />- 850 m Canada Place Cruise Ship Terminal (10 min walk)<br />- 1.2 km Stanley Park (14 min walk)<br />- 1.3 km Gastown Steam Clock (16 min walk)<br />- 1.8 km Dr. Sun Yat-Sen Classical Chinese Garden (23 min walk)<br /><br /><br />PUBLIC TRANSIT<br /><br />- 500 m Burrard Bus Loop and SkyTrain Station (Expo Line) (3 min walk)<br />- 750 m Vancouver City Centre (Canada Line) (10 min walk)<br />- 950 m  Waterfront SkyTrain Station (Canada Line) & SeaBus Terminal (13 min walk)<br />- 1.9 km Aquabus Ferry (Hornby Street Dock) (24 min walk),74865763,Breanne,within an hour,100%,99%,t,5,11,"Vancouver, British Columbia, Canada",Downtown,49.28738120000001,-123.1237839,Entire condo,Entire home/apt,4,,,2.0,[],$551.00,2,28,2.0,1125.0,0,0,0,0,14,14,5.0,5.0,4.93,4.93,5.0,5.0,4.43,f,3,2.09,788
1614,32257227,Condo in Vancouver · ★4.72 · 1 bedroom · 2 beds · 1 bath,"This Apartment is located in the center of downtown Vancouver. Half a block to Granville Street Entertainment district! All Shopping, restaurants and stores are literally a short walk from your front door.  You can also walk to the Vancouver Seawall or take a short taxi ride to Stanley Park. There is no better rental location than this.",242094816,Kelly,within an hour,90%,100%,f,1,1,"Vancouver, British Columbia, Canada",Downtown,49.27923,-123.12314,Entire condo,Entire home/apt,4,,,2.0,[],$120.00,1,90,1.3,1125.0,0,0,0,0,254,74,4.72,4.82,4.57,4.77,4.91,4.84,4.63,f,1,4.37,2677
607,14237741,Guest suite in Vancouver · ★4.92 · 1 bedroom · 1 bed · 1 bath,"My place is within walking distance of all kinds of amenities: restaurants (Italian, Japanese, Vietnamese, S. Asian, Palestinian, Chinese etc),  several bakeries , top rated grocery store (with conventional and organic foods), bars with craft beers, gift stores, major pharmacies, specialty stores ( meat, balsamic vinegars etc).  I am around the corner from a Community swimming pool and running track.  My place is in a quiet East-side family-oriented neighborhood; it is not located West-side near beaches nor downtown (that would be in a high-rise).",3144187,Sara,,,98%,t,1,1,"Vancouver, British Columbia, Canada",Grandview-Woodland,49.28054,-123.06184,Entire guest suite,Entire home/apt,2,,,1.0,[],$110.00,3,10,3.0,10.0,0,0,0,0,99,26,4.92,4.97,4.97,4.99,4.98,4.69,4.83,f,1,1.11,3674
2663,48760992,Home in Vancouver · ★4.91 · 1 bedroom · 2 beds · 1 bath,Quite and Clean environment,393359499,Elizabeth,within an hour,100%,100%,t,2,5,"Vancouver, British Columbia, Canada",Killarney,49.22866,-123.03668,Entire home,Entire home/apt,2,,,2.0,[],$83.00,7,28,7.0,1125.0,14,44,74,349,32,12,4.91,4.91,5.0,4.91,4.91,4.91,4.94,f,2,0.97,2627
1093,23218832,Home in Vancouver · ★4.87 · 1 bedroom · 1 bed · 1 private bath,Quiet neighbourhood. <br /><br />7 minutes drive to YVR<br /><br />5 minutes walk to Starbucks or nearby restaurants.<br /><br />10 minutes walk to Marine Gateway (grocery shops) Marine Dr skytrain station.,172702853,Winnie,,,,f,1,1,"Vancouver, British Columbia, Canada",Marpole,49.21007,-123.12755,Private room in home,Private room,3,,,1.0,[],,1,30,1.0,30.0,0,0,0,0,141,0,4.87,4.94,4.95,4.97,4.96,4.77,4.84,f,1,2.0,2791
5410,919215526898178056,Home in Vancouver · 1 bedroom · 2 beds · 1 bath,"Marpole Neighbourhood is located on the southern edge of the city of Vancouver, British Columbia, immediately northeast of Vancouver International Airport, and is approximately bordered by Angus Drive to the west, 57th Avenue to the north, Ontario Street to the east and the Fraser River to the south. It has undergone many changes in the 20th century, with the influx of traffic and development associated with the construction of the Oak Street Bridge (which leads to Highway 99 leading to the southern suburbs) and the Arthur Laing Bridge (which leads to Vancouver International Airport).",83649788,Austin,within an hour,92%,31%,f,9,23,"Vancouver, British Columbia, Canada",Marpole,49.21568648390813,-123.12712226721744,Entire home,Entire home/apt,4,,,2.0,[],$90.00,30,365,30.0,365.0,30,60,90,269,0,0,,,,,,,,f,7,,2120
6571,1028979172027280968,Rental unit in Vancouver · ★New · 1 bedroom · 1 bed · 1 bath,"The West Side of Vancouver is known for its tree-lined streets, beautiful homes, and well-manicured gardens. The area is a mix of residential streets and bustling commercial areas. Some of the most popular commercial streets in the area include West Broadway, West 4th Avenue, and West 10th Avenue, all of which feature a variety of boutique shops, restaurants, and cafes. These streets are also home to popular outdoor markets, like the Kitsilano Farmers Market, where visitors can sample locally grown produce and artisanal foods.",227662329,Jordan,within an hour,100%,100%,f,168,232,"Vancouver, British Columbia, Canada",Kitsilano,49.2656070321803,-123.15668737015366,Entire rental unit,Entire home/apt,2,,,1.0,[],$96.00,30,365,30.0,365.0,0,0,0,254,0,0,,,,,,,,t,134,,1171
6620,1035803211422259015,Home in Vancouver · ★New · 1 bedroom · 1 bed · 1 shared bath,,17133309,Francine,within a few hours,100%,0%,f,1,2,,Hastings-Sunrise,49.2734627,-123.0342333,Private room in home,Private room,1,,,1.0,[],$39.00,30,365,30.0,365.0,0,29,59,59,0,0,,,,,,,,f,1,,0
203,3425973,Townhouse in Vancouver · ★4.67 · 2 bedrooms · 2 beds · 2.5 baths,"Kits Point is a Gem! We are a few moments from Kitslano Beach, Kitslano Pool, and Sea Side Park, a walk to the local Granville Market and boutique shops, restaurants and cafes. Tranquility on this street marked Bike Route which leads all the way to Jericho Beach.<br />The neighbours are truly welcoming and kind. Children are welcome.<br /> Prefer No Pets but small dogs are welcome with a Pet Damage deposit.<br />NO SMOKING.",16643587,Isabella,within a few hours,100%,100%,t,5,5,"Vancouver, British Columbia, Canada",Kitsilano,49.27523,-123.1524,Entire townhouse,Entire home/apt,3,,,2.0,[],$234.00,7,365,7.0,365.0,18,48,55,55,18,4,4.67,4.78,4.83,4.89,4.67,4.94,4.56,f,1,0.18,1592
4328,768787105434316872,Home in Vancouver · ★4.82 · 5 bedrooms · 5 beds · 4.5 baths,处于Oak Street旁边的内街区，环境幽静但交通四通八达，大门正对草地球场，景观无遮挡。旁边有小学，治安良好。,121966720,Shengwen,within an hour,100%,100%,f,1,3,"Vancouver, British Columbia, Canada",Oakridge,49.23291,-123.13065,Entire home,Entire home/apt,10,,,5.0,[],$680.00,1,365,1.0,1125.0,23,53,83,248,22,22,4.82,4.68,4.91,4.82,4.82,4.91,4.68,t,1,1.82,5229
3540,638356290560759607,Condo in Vancouver · ★4.88 · 3 bedrooms · 4 beds · 3 baths,"Olympic Village is a vibrant, mixed-use community located in Southeast False Creek. Developed by the Millennium Development Group, it is known for its green initiatives, such as solar heating and green roofs, and was even built to house athletes during the 2010 Winter Olympics. Today, it is home to approximately 1,100 residential units, as well as charming coffee shops and restaurants all within a 5-minute walk. The area is perfect for those who love being by the water, with multiple people and dog parks in the vicinity. Conveniently, there are also major retailers like Whole Foods, Save-on-Foods, Canadian Tire, Best Buy, and Home Depot all within a 15-minute walk. For fast public transit, there are two major sky train stations nearby - Olympic Village and Main Street-Science World.",407528692,Thi,within an hour,100%,100%,f,1,1,"Vancouver, British Columbia, Canada",Mount Pleasant,49.26858,-123.10962,Entire condo,Entire home/apt,8,,,4.0,[],$464.00,1,1125,1.0,1125.0,0,0,0,0,84,57,4.88,4.89,4.84,4.55,4.79,4.91,4.82,t,1,4.52,977
837,19070991,Condo in Vancouver · ★4.91 · 1 bedroom · 1 bed · 1 bath,"Commercial Drive, or ""The Drive"" as locals call it is one of Vancouver's most beloved neighborhoods. Eclectic and diverse, this charming area is host to plenty of unique restaurants, coffee shops and boutiques while still offering amenities like grocery stores, banks, gyms and public transit. <br /><br />Our space is located just two blocks from the Drive, where the commercial neighborhood turns residential with tree lined streets, parks and heritage homes.<br /><br />Here you'll find:<br /><br />- Endless international restaurants, cafes and grocery stores <br />-Independently owned boutiques, live music, craft breweries and a retro bowling alley all nearby<br />-Community Centers offering skating rinks, gym, library, pool and sauna <br />-Nearby Trout Lake Park that hosts a weekly farmer's market",9037016,Suraiya,,,,f,1,1,"Vancouver, British Columbia, Canada",Grandview-Woodland,49.27188,-123.07267,Entire condo,Entire home/apt,4,,,1.0,[],$225.00,3,7,3.0,7.0,0,0,0,0,11,0,4.91,5.0,4.64,4.91,4.91,4.73,4.73,f,1,0.15,740
3877,692732675318142003,Townhouse in Vancouver · ★4.48 · 5 bedrooms · 5 beds · 3 baths,,333426323,Jessica,within an hour,98%,99%,f,31,115,,Kensington-Cedar Cottage,49.24358,-123.05691,Entire townhouse,Entire home/apt,10,,,5.0,[],$231.00,1,365,2.0,365.0,13,32,55,284,21,15,4.48,4.57,4.29,4.81,4.67,4.81,4.5,f,10,1.34,4202
1230,25142791,Guest suite in Vancouver · ★4.88 · 2 bedrooms · 2 beds · 1 bath,"The Commercial Drive area - The Drive - is great. It has a bit of a hippie feel to it and it is always buzzing with people. There are so many restaurants, groceries shops, and trendy stores that is hard to know them all.",59265845,Chris,,,,f,1,5,"Vancouver, British Columbia, Canada",Grandview-Woodland,49.27416,-123.06224,Entire guest suite,Entire home/apt,4,,,2.0,[],$95.00,2,31,2.0,1125.0,9,9,9,9,156,17,4.88,4.93,4.88,4.98,4.95,4.88,4.85,f,1,2.48,3526
5067,884797316700872175,Home in Vancouver · ★4.62 · 1 bedroom · 2 beds · 1.5 baths,"Olympic Village is a trendy and vibrant waterfront neighborhood located in the southeast corner of downtown Vancouver, British Columbia. It was originally built as the athletes' village for the 2010 Winter Olympics and Paralympics and has since been transformed into a thriving residential and commercial community.<br /><br />Olympic Village is a pedestrian-friendly community, with wide sidewalks and an extensive network of cycling paths. It is home to several parks and green spaces, including the scenic seawall, which offers stunning views of False Creek and the surrounding mountains.<br /><br />In addition to its residential offerings, Olympic Village boasts a vibrant retail and dining scene. The neighborhood is home to several cafes, restaurants, and specialty shops, with a focus on locally sourced and sustainable ingredients. The nearby Granville Island Public Market is also a popular destination for foodies and shoppers alike.",227662329,Jordan,within an hour,100%,100%,f,168,232,"Vancouver, British Columbia, Canada",Mount Pleasant,49.2691281595944,-123.10223734513072,Entire home,Entire home/apt,4,,,2.0,[],$106.00,1,365,2.0,1125.0,26,56,86,357,21,21,4.62,4.62,4.52,4.71,4.86,4.9,4.33,t,134,2.86,2250
1609,32162289,Rental unit in Vancouver · ★4.85 · 2 bedrooms · 3 beds · 1 bath,"Centrally located, nestled just outside of the downtown, you can walk to the nearby park, sea wall, Granville Island and Science World. A longer walk with amazing views over the bridge takes you to downtown or you can continue by the sea wall until you reach Kitsilano Beach.",241277666,Ro And Ana,within an hour,100%,100%,t,1,1,"Vancouver, British Columbia, Canada",Fairview,49.26523,-123.12232,Entire rental unit,Entire home/apt,6,,,3.0,[],$202.00,3,29,2.8,1125.0,11,32,54,129,148,30,4.85,4.88,4.92,4.94,4.96,4.83,4.76,f,1,2.52,2147
4180,746649224479313723,Serviced apartment in Vancouver · 1 bedroom · 1 bed · 1 bath,"Overview<br />Despite the fact that Coal Harbour is right downtown, it’s a surprisingly calm little neighbourhood, right on the water’s edge. It’s even more surprising given its industrial history as a former shipyard sitting right next to the railway terminus. The area starts at Canada Place and stretches west to Stanley Park, and is bordered by Burrard Inlet to the north, West Georgia Street to the south. Coal Harbour is a charming mix of business and residential, being home to both the Vancouver Convention Centre as well as condo towers. Around this area you’ll find locals and visitors mingling on the Seawall, neighbourhood cafes and restaurants, a popular marina, and the odd harbour seal bobbing around and greeting passersby.<br /><br /><br />Seeing and Doing<br />Even if you’re not visiting on business, a walk around the Vancouver Convention Centre is recommended. Along with lots of public art, the surrounding section of the seawall includes many interpretive plaques giving visito",74806205,Adam,a few days or more,29%,1%,f,48,59,"Vancouver, British Columbia, Canada",Downtown,49.28751,-123.11652,Entire serviced apartment,Entire home/apt,3,,,1.0,[],"$1,449.00",5,365,5.0,365.0,30,60,90,364,0,0,,,,,,,,f,30,,1610
6446,1018380912765175470,Townhouse in Vancouver · ★5.0 · 1 bedroom · 2 beds · 2 baths,"Super safe and quiet neighbourhood with easy access to the highway, Metrotown Mall, restaurants, grocery stores and supermarkets. There's a grocery store literally a one minute walk away, bus stops across the street and 29th Avenue Skytrain is an 8 minute stroll away that is only four stops to downtown Vancouver or 6 stops to Waterfront Station where the West Coast Express train, float planes and cruise ships depart.",44970031,Shae,within an hour,100%,100%,f,2,2,"Vancouver, British Columbia, Canada",Renfrew-Collingwood,49.238255724011566,-123.04888349436013,Entire townhouse,Entire home/apt,4,,,2.0,[],$123.00,1,365,1.0,1125.0,0,0,0,0,4,4,5.0,5.0,5.0,5.0,5.0,4.8,5.0,f,2,4.0,1796
